# UI textures requiring 2x conversion to match the vendored ui/ trees
#
# Every texture the UI trees reference is listed: the engine draws a plain
# image 1:1 from the texture's top-left and never stretches it to the
# control (verified in game - 1x art renders quarter-size in its corner),
# so 2x layout needs 2x art everywhere. The reason column records what
# reads the texture: a texture-space coordinate (atlas sub-rect, 9-slice
# rect, flipbook stride, font-icon cell, IconTextureAtlases row, Lua
# SetTextureOffsetVal/SetTextureSizeVal), or drawn-1to1 for a plain ref.
# Both UI trees are swept, base and Expansion1.
#
# input_file is the thing to upscale, relative to the extraction root, and
# decoded is its MEASURED size. A .png input was a dictionary-coded pair
# (<name>.dds blocks + <name>-index.dds); a .dds input is a plain texture.
#
# USE-EXPANSION-COPY: the name is in both UI packs with different content;
# the Rising Tide copy is the one the game loads and the one listed here.
#
# pack	filename	input_file	decoded	bytes	reasons

Expansion1UITextures.fpk	actioncornerxp1.dds	Expansion1UITextures.fpk/actioncornerxp1.dds	516x161	442444	drawn-1to1
Expansion1UITextures.fpk	affinitybonusslot.dds	Expansion1UITextures.fpk/affinitybonusslot.dds	6x55	1448	9-slice
Expansion1UITextures.fpk	affinitynode.dds	Expansion1UITextures.fpk/affinitynode.dds	18x72	5312	drawn-1to1,lua-runtime-offset
Expansion1UITextures.fpk	affinitynodeglow.dds	Expansion1UITextures.fpk/affinitynodeglow.dds	47x48	9152	drawn-1to1
Expansion1UITextures.fpk	affinitywheelglow.dds	Expansion1UITextures.fpk/affinitywheelglow.dds	259x263	272596	drawn-1to1
Expansion1UITextures.fpk	affinitywheelglow2.dds	Expansion1UITextures.fpk/affinitywheelglow2.dds	260x261	271568	drawn-1to1
Expansion1UITextures.fpk	affinitywheellarge.dds	Expansion1UITextures.fpk/affinitywheellarge.dds	554x554	1227792	drawn-1to1
Expansion1UITextures.fpk	agreements_bigdiplocapital.dds	Expansion1UITextures.fpk/agreements_bigdiplocapital.dds	45x45	10768	drawn-1to1
Expansion1UITextures.fpk	agreements_boostedallied.dds	Expansion1UITextures.fpk/agreements_boostedallied.dds	71x74	27920	drawn-1to1
Expansion1UITextures.fpk	agreements_boostedcooperative.dds	Expansion1UITextures.fpk/agreements_boostedcooperative.dds	71x74	27920	drawn-1to1
Expansion1UITextures.fpk	agreements_circle.dds	Expansion1UITextures.fpk/agreements_circle.dds	92x92	45168	drawn-1to1
Expansion1UITextures.fpk	agreements_container.dds	Expansion1UITextures.fpk/agreements_container.dds	38x38	7756	9-slice
Expansion1UITextures.fpk	agreements_numbers.dds	Expansion1UITextures.fpk/agreements_numbers.dds	60x280	89572	atlas-subrect,drawn-1to1,lua-runtime-offset
Expansion1UITextures.fpk	agreements_set.dds	Expansion1UITextures.fpk/agreements_set.dds	34x71	12880	drawn-1to1
Expansion1UITextures.fpk	agreements_subincomecontainer.dds	Expansion1UITextures.fpk/agreements_subincomecontainer.dds	102x61	33060	9-slice
Expansion1UITextures.fpk	agreementsbacking.dds	Expansion1UITextures.fpk/agreementsbacking.dds	34x71	12880	9-slice
Expansion1UITextures.fpk	artifactbutton.dds	Expansion1UITextures.fpk/artifactbutton.dds	60x448	107648	9-slice
Expansion1UITextures.fpk	artifactcategory32.dds	Expansion1UITextures.fpk/artifactcategory32.dds	64x64	16512	database-ref,drawn-1to1,icon-atlas
Expansion1UITextures.fpk	artifactdraganim_l.dds	Expansion1UITextures.fpk/artifactdraganim_l.dds	32x104	13440	flipbook-sheet
Expansion1UITextures.fpk	artifactdraganim_r.dds	Expansion1UITextures.fpk/artifactdraganim_r.dds	32x104	13440	flipbook-sheet
Expansion1UITextures.fpk	artifactempty.dds	Expansion1UITextures.fpk/artifactempty.dds	73x80	23488	drawn-1to1
Expansion1UITextures.fpk	artifactsconditionbar.dds	Expansion1UITextures.fpk/artifactsconditionbar.dds	100x7	2928	9-slice
Expansion1UITextures.fpk	artifactsconditionbattered.dds	Expansion1UITextures.fpk/artifactsconditionbattered.dds	100x4	1728	drawn-1to1
Expansion1UITextures.fpk	artifactsconditionpristine.dds	Expansion1UITextures.fpk/artifactsconditionpristine.dds	100x4	1728	drawn-1to1
Expansion1UITextures.fpk	artifactsconditionworn.dds	Expansion1UITextures.fpk/artifactsconditionworn.dds	100x4	1728	drawn-1to1
Expansion1UITextures.fpk	artifactsconditionwornlg.dds	Expansion1UITextures.fpk/artifactsconditionwornlg.dds	200x8	6528	drawn-1to1
Expansion1UITextures.fpk	artifactspreviewgrid.dds	Expansion1UITextures.fpk/artifactspreviewgrid.dds	15x166	10088	9-slice
Expansion1UITextures.fpk	artifactsresearcharrowframe.dds	Expansion1UITextures.fpk/artifactsresearcharrowframe.dds	512x299	612480	drawn-1to1
Expansion1UITextures.fpk	artifactsresearcharrowpath1.dds	Expansion1UITextures.fpk/artifactsresearcharrowpath1.dds	155x128	79488	drawn-1to1
Expansion1UITextures.fpk	artifactsresearcharrowpath2.dds	Expansion1UITextures.fpk/artifactsresearcharrowpath2.dds	16x134	8704	drawn-1to1
Expansion1UITextures.fpk	artifactsresearcharrowpath3.dds	Expansion1UITextures.fpk/artifactsresearcharrowpath3.dds	155x128	79488	drawn-1to1
